04/16/24|000050119|Longueuil|OZONE-8HR|PPB|40|8|Canada-Quebec1|37|0|45.523100|-73.493900|124000050119
04/16/24|000050119|Longueuil|PM2.5-24hr|UG/M3|2.1|24|Canada-Quebec1|9|0|45.523100|-73.493900|124000050119
04/16/24|000050122|Brossard - Parc Sorbonne|OZONE-1HR|PPB|42|1|Canada-Quebec1|-999|-999|45.448660|-73.468631|124000050122
04/16/24|000050122|Brossard - Parc Sorbonne|OZONE-8HR|PPB|40|8|Canada-Quebec1|37|0|45.448660|-73.468631|124000050122
04/16/24|000050122|Brossard - Parc Sorbonne|PM2.5-24hr|UG/M3|1.9|24|Canada-Quebec1|8|0|45.448660|-73.468631|124000050122
04/16/24|000050137|Terrebonne - Parc Vaillant|OZONE-1HR|PPB|40|1|Canada-Quebec1|-999|-999|45.704760|-73.657760|124000050137
04/16/24|000050137|Terrebonne - Parc Vaillant|PM2.5-24hr|UG/M3|1.4|24|Canada-Quebec1|6|0|45.704760|-73.657760|124000050137
04/16/24|000050204|Gatineau - Hull|OZONE-1HR|PPB|41|1|Canada-Quebec1|-999|-999|45.436900|-75.726100|124000050204
04/16/24|000050204|Gatineau - Hull|OZONE-8HR|PPB|38|8|Canada-Quebec1|35|0|45.436900|-75.726100|124000050204
04/16/24|000050204|Gatineau - Hull|PM2.5-24hr|UG/M3|2.6|24|Canada-Quebec1|11|0|45.436900|-75.726100|124000050204
04/16/24|000050308|Quebec - Vieux-Limoilou|OZONE-1HR|PPB|37|1|Canada-Quebec1|-999|-999|46.821400|-71.220800|124000050308
04/16/24|000050308|Quebec - Vieux-Limoilou|OZONE-8HR|PPB|32|8|Canada-Quebec1|30|0|46.821400|-71.220800|124000050308
04/16/24|000050308|Quebec - Vieux-Limoilou|PM2.5-24hr|UG/M3|2|24|Canada-Quebec1|8|0|46.821400|-71.220800|124000050308
04/16/24|000050310|Quebec - College St-Charles Garnier|OZONE-1HR|PPB|39|1|Canada-Quebec1|-999|-999|46.796900|-71.246100|124000050310
04/16/24|000050310|Quebec - College St-Charles Garnier|OZONE-8HR|PPB|33|8|Canada-Quebec1|31|0|46.796900|-71.246100|124000050310
04/16/24|000050310|Quebec - College St-Charles Garnier|PM2.5-24hr|UG/M3|1.4|24|Canada-Quebec1|6|0|46.796900|-71.246100|124000050310
04/16/24|000050311|Quebec - Ecole Les Primeveres|OZONE-1HR|PPB|41|1|Canada-Quebec1|-999|-999|46.774170|-71.369720|124000050311
04/16/24|000050311|Quebec - Ecole Les Primeveres|OZONE-8HR|PPB|36|8|Canada-Quebec1|33|0|46.774170|-71.369720|124000050311
