04/12/24|Accra|  |PM2.5-24HR|UG/M3|-5|15|57|1|U.S. Department of State Ghana - Accra
04/11/24|Accra|  |PM2.5-24HR|UG/M3|-6|14.5|56|0|U.S. Department of State Ghana - Accra
04/10/24|Accra|  |PM2.5-24HR|UG/M3|-7|8.5|35|0|U.S. Department of State Ghana - Accra
04/09/24|Accra|  |PM2.5-24HR|UG/M3|-8|14.4|56|0|U.S. Department of State Ghana - Accra
04/08/24|Accra|  |PM2.5-24HR|UG/M3|-9|8.3|35|0|U.S. Department of State Ghana - Accra
04/17/24|Addis Ababa Central|  |PM2.5-24HR|UG/M3|0|12.3|51|0|U.S. Department of State Ethiopia - Addis Ababa
04/16/24|Addis Ababa Central|  |PM2.5-24HR|UG/M3|-1|36.3|103|1|U.S. Department of State Ethiopia - Addis Ababa
04/15/24|Addis Ababa Central|  |PM2.5-24HR|UG/M3|-2|17|62|0|U.S. Department of State Ethiopia - Addis Ababa
04/14/24|Addis Ababa Central|  |PM2.5-24HR|UG/M3|-3|11.3|47|0|U.S. Department of State Ethiopia - Addis Ababa
04/13/24|Addis Ababa Central|  |PM2.5-24HR|UG/M3|-4|12.5|52|0|U.S. Department of State Ethiopia - Addis Ababa
04/12/24|Addis Ababa Central|  |PM2.5-24HR|UG/M3|-5|12|50|0|U.S. Department of State Ethiopia - Addis Ababa
04/17/24|Addis Ababa School|  |PM2.5-24HR|UG/M3|0|42.4|118|1|U.S. Department of State Ethiopia - Addis Ababa
04/16/24|Addis Ababa School|  |PM2.5-24HR|UG/M3|-1|38.6|109|0|U.S. Department of State Ethiopia - Addis Ababa
04/15/24|Addis Ababa School|  |PM2.5-24HR|UG/M3|-2|33|95|0|U.S. Department of State Ethiopia - Addis Ababa
04/14/24|Addis Ababa School|  |PM2.5-24HR|UG/M3|-3|22.6|73|0|U.S. Department of State Ethiopia - Addis Ababa
04/13/24|Addis Ababa School|  |PM2.5-24HR|UG/M3|-4|28.1|85|0|U.S. Department of State Ethiopia - Addis Ababa
04/12/24|Addis Ababa School|  |PM2.5-24HR|UG/M3|-5|31.4|92|0|U.S. Department of State Ethiopia - Addis Ababa
04/11/24|Addis Ababa School|  |PM2.5-24HR|UG/M3|-6|25.5|79|0|U.S. Department of State Ethiopia - Addis Ababa
