ValidDate,Hour,lat_Approx,long_Approx,PM10_AQI,PM25_AQI
04/11/2024,23:00,34.066429,-118.226755,28.0,49.0
04/11/2024,00:00,34.066429,-118.226755,26.0,54.0
04/11/2024,01:00,34.066429,-118.226755,25.0,55.0
04/11/2024,02:00,34.066429,-118.226755,26.0,57.0
04/11/2024,03:00,34.066429,-118.226755,28.0,57.0
04/11/2024,04:00,34.066429,-118.226755,29.0,58.0
04/11/2024,05:00,34.066429,-118.226755,40.0,81.0
04/11/2024,06:00,34.066429,-118.226755,40.0,86.0
04/11/2024,07:00,34.066429,-118.226755,36.0,84.0
04/11/2024,08:00,34.066429,-118.226755,35.0,72.0
04/11/2024,09:00,34.066429,-118.226755,31.0,69.0
04/11/2024,10:00,34.066429,-118.226755,31.0,71.0
04/11/2024,11:00,34.066429,-118.226755,39.0,69.0
04/11/2024,12:00,34.066429,-118.226755,34.0,64.0
04/11/2024,13:00,34.066429,-118.226755,34.0,63.0
04/11/2024,14:00,34.066429,-118.226755,36.0,63.0
04/11/2024,15:00,34.066429,-118.226755,35.0,59.0
04/11/2024,16:00,34.066429,-118.226755,35.0,57.0
04/11/2024,17:00,34.066429,-118.226755,36.0,56.0
04/11/2024,18:00,34.066429,-118.226755,40.0,63.0
04/11/2024,19:00,34.066429,-118.226755,36.0,60.0
04/11/2024,20:00,34.066429,-118.226755,35.0,63.0
04/11/2024,21:00,34.066429,-118.226755,31.0,59.0
04/11/2024,22:00,34.066429,-118.226755,29.0,58.0
