ValidDate,Hour,lat_Approx,long_Approx,PM10_AQI,PM25_AQI
04/13/2024,23:00,34.066429,-118.226755,13.0,38.0
04/13/2024,00:00,34.066429,-118.226755,14.0,39.0
04/13/2024,01:00,34.066429,-118.226755,15.0,34.0
04/13/2024,02:00,34.066429,-118.226755,15.0,33.0
04/13/2024,03:00,34.066429,-118.226755,13.0,31.0
04/13/2024,04:00,34.066429,-118.226755,12.0,35.0
04/13/2024,05:00,34.066429,-118.226755,11.0,37.0
04/13/2024,06:00,34.066429,-118.226755,10.0,33.0
04/13/2024,07:00,34.066429,-118.226755,11.0,34.0
04/13/2024,08:00,34.066429,-118.226755,13.0,33.0
04/13/2024,09:00,34.066429,-118.226755,11.0,32.0
04/13/2024,10:00,34.066429,-118.226755,9.0,29.0
04/13/2024,11:00,34.066429,-118.226755,8.0,23.0
04/13/2024,12:00,34.066429,-118.226755,9.0,25.0
04/13/2024,13:00,34.066429,-118.226755,11.0,26.0
04/13/2024,14:00,34.066429,-118.226755,10.0,31.0
04/13/2024,15:00,34.066429,-118.226755,12.0,33.0
04/13/2024,16:00,34.066429,-118.226755,11.0,32.0
04/13/2024,17:00,34.066429,-118.226755,14.0,33.0
04/13/2024,18:00,34.066429,-118.226755,14.0,30.0
04/13/2024,19:00,34.066429,-118.226755,14.0,27.0
04/13/2024,20:00,34.066429,-118.226755,15.0,28.0
04/13/2024,21:00,34.066429,-118.226755,19.0,26.0
04/13/2024,22:00,34.066429,-118.226755,14.0,25.0
