ValidDate,Hour,lat_Approx,long_Approx,PM10_AQI,PM25_AQI
04/20/2024,23:00,34.066429,-118.226755,24.0,59.0
04/20/2024,00:00,34.066429,-118.226755,22.0,57.0
04/20/2024,01:00,34.066429,-118.226755,19.0,54.0
04/20/2024,02:00,34.066429,-118.226755,17.0,52.0
04/20/2024,03:00,34.066429,-118.226755,17.0,48.0
04/20/2024,04:00,34.066429,-118.226755,14.0,45.0
04/20/2024,05:00,34.066429,-118.226755,13.0,41.0
04/20/2024,06:00,34.066429,-118.226755,12.0,38.0
04/20/2024,07:00,34.066429,-118.226755,13.0,42.0
04/20/2024,08:00,34.066429,-118.226755,14.0,42.0
04/20/2024,09:00,34.066429,-118.226755,15.0,43.0
04/20/2024,10:00,34.066429,-118.226755,16.0,51.0
04/20/2024,11:00,34.066429,-118.226755,16.0,55.0
04/20/2024,12:00,34.066429,-118.226755,19.0,59.0
04/20/2024,13:00,34.066429,-118.226755,19.0,60.0
04/20/2024,14:00,34.066429,-118.226755,19.0,59.0
04/20/2024,15:00,34.066429,-118.226755,21.0,59.0
04/20/2024,16:00,34.066429,-118.226755,26.0,63.0
04/20/2024,17:00,34.066429,-118.226755,31.0,66.0
04/20/2024,18:00,34.066429,-118.226755,34.0,70.0
04/20/2024,19:00,34.066429,-118.226755,35.0,73.0
04/20/2024,20:00,34.066429,-118.226755,38.0,75.0
04/20/2024,21:00,34.066429,-118.226755,34.0,67.0
04/20/2024,22:00,34.066429,-118.226755,33.0,66.0
