ValidDate,Hour,lat_Approx,long_Approx,PM10_AQI,PM25_AQI
04/15/2024,23:00,34.066429,-118.226755,5.0,20.0
04/15/2024,00:00,34.066429,-118.226755,4.0,20.0
04/15/2024,01:00,34.066429,-118.226755,5.0,20.0
04/15/2024,02:00,34.066429,-118.226755,5.0,22.0
04/15/2024,03:00,34.066429,-118.226755,6.0,22.0
04/15/2024,04:00,34.066429,-118.226755,9.0,25.0
04/15/2024,05:00,34.066429,-118.226755,8.0,26.0
04/15/2024,06:00,34.066429,-118.226755,9.0,31.0
04/15/2024,07:00,34.066429,-118.226755,10.0,37.0
04/15/2024,08:00,34.066429,-118.226755,12.0,35.0
04/15/2024,09:00,34.066429,-118.226755,10.0,33.0
04/15/2024,10:00,34.066429,-118.226755,12.0,37.0
