timestamp,latitude,longitude
"04/16/2024, 3:55:47 PM",34.021526,-118.288752
"04/16/2024, 3:55:50 PM",34.021566,-118.288890
"04/16/2024, 3:55:54 PM",34.021470,-118.288567
"04/16/2024, 3:56:01 PM",34.021553,-118.288315
"04/16/2024, 3:56:26 PM",34.021452,-118.288464
"04/16/2024, 3:56:37 PM",34.021578,-118.288401
"04/16/2024, 3:56:42 PM",34.021503,-118.288488
"04/16/2024, 3:56:43 PM",34.021594,-118.288463
"04/16/2024, 3:57:01 PM",34.021560,-118.288531
"04/16/2024, 3:57:30 PM",34.021578,-118.288662
"04/16/2024, 3:57:34 PM",34.021656,-118.288791
"04/16/2024, 3:57:35 PM",34.021700,-118.288915
"04/16/2024, 3:57:39 PM",34.021684,-118.289025
"04/16/2024, 3:57:40 PM",34.021624,-118.289110
"04/16/2024, 3:57:52 PM",34.021548,-118.289003
"04/16/2024, 3:57:54 PM",34.021516,-118.288871
"04/16/2024, 3:57:56 PM",34.021528,-118.288764
"04/16/2024, 3:58:03 PM",34.021528,-118.288794
"04/16/2024, 3:58:13 PM",34.021575,-118.288888
"04/16/2024, 3:58:45 PM",34.021599,-118.288761
"04/16/2024, 3:59:29 PM",34.021564,-118.288623
"04/16/2024, 4:01:01 PM",34.021673,-118.288653
"04/16/2024, 4:01:05 PM",34.021594,-118.288708
"04/16/2024, 4:01:32 PM",34.021721,-118.288666
"04/16/2024, 4:01:36 PM",34.021641,-118.288768
"04/16/2024, 4:01:43 PM",34.021546,-118.288658
"04/16/2024, 4:02:11 PM",34.021499,-118.288777
"04/16/2024, 4:02:15 PM",34.021527,-118.288903
"04/16/2024, 4:02:16 PM",34.021582,-118.289018
"04/16/2024, 4:02:17 PM",34.021607,-118.289134
"04/16/2024, 4:02:20 PM",34.021689,-118.289089
"04/16/2024, 4:02:22 PM",34.021551,-118.289181
"04/16/2024, 4:02:28 PM",34.021646,-118.289197
"04/16/2024, 4:02:32 PM",34.021683,-118.289318
"04/16/2024, 4:02:34 PM",34.021723,-118.289206
"04/16/2024, 4:02:46 PM",34.021726,-118.289089
