ValidDate_x,ValidTime,latitude,longitude,ValidDate_y,Hour,lat_Approx,long_Approx,PM10_AQI,PM25_AQI
04/18/2024,02:45,34.025133,-118.279215,04/18/2024,02:00,34.066429,-118.226755,16.0,28.0
04/18/2024,02:45,34.02518,-118.279207,04/18/2024,02:00,34.066429,-118.226755,16.0,28.0
04/18/2024,02:47,34.025052,-118.279223,04/18/2024,02:00,34.066429,-118.226755,16.0,28.0
04/18/2024,04:19,34.025155,-118.279205,04/18/2024,04:00,34.066429,-118.226755,20.0,50.0
04/18/2024,04:20,34.025049,-118.279218,04/18/2024,04:00,34.066429,-118.226755,20.0,50.0
04/18/2024,04:20,34.025049,-118.279218,04/18/2024,04:00,34.066429,-118.226755,20.0,50.0
04/18/2024,04:21,34.025181,-118.279209,04/18/2024,04:00,34.066429,-118.226755,20.0,50.0
04/18/2024,05:17,34.025181,-118.279209,04/18/2024,05:00,34.066429,-118.226755,21.0,52.0
04/18/2024,05:28,34.025052,-118.279282,04/18/2024,05:00,34.066429,-118.226755,21.0,52.0
04/18/2024,05:28,34.025052,-118.279282,04/18/2024,05:00,34.066429,-118.226755,21.0,52.0
04/18/2024,05:29,34.025132,-118.279215,04/18/2024,05:00,34.066429,-118.226755,21.0,52.0
04/18/2024,05:29,34.025178,-118.279209,04/18/2024,05:00,34.066429,-118.226755,21.0,52.0
04/18/2024,06:21,34.025181,-118.279209,04/18/2024,06:00,34.066429,-118.226755,26.0,54.0
04/18/2024,06:21,34.025033,-118.279245,04/18/2024,06:00,34.066429,-118.226755,26.0,54.0
04/18/2024,06:22,34.025035,-118.279201,04/18/2024,06:00,34.066429,-118.226755,26.0,54.0
04/18/2024,06:23,34.025058,-118.279201,04/18/2024,06:00,34.066429,-118.226755,26.0,54.0
04/18/2024,09:08,34.025091,-118.279083,04/18/2024,09:00,34.066429,-118.226755,30.0,54.0
04/18/2024,09:09,34.025114,-118.279192,04/18/2024,09:00,34.066429,-118.226755,30.0,54.0
04/18/2024,09:22,34.025033,-118.279243,04/18/2024,09:00,34.066429,-118.226755,30.0,54.0
04/18/2024,09:22,34.025013,-118.279271,04/18/2024,09:00,34.066429,-118.226755,30.0,54.0
04/18/2024,09:25,34.025111,-118.279206,04/18/2024,09:00,34.066429,-118.226755,30.0,54.0
04/18/2024,09:25,34.02507,-118.279208,04/18/2024,09:00,34.066429,-118.226755,30.0,54.0
04/18/2024,09:35,34.02498,-118.279211,04/18/2024,09:00,34.066429,-118.226755,30.0,54.0
04/18/2024,09:35,34.025102,-118.279214,04/18/2024,09:00,34.066429,-118.226755,30.0,54.0
04/18/2024,09:35,34.025113,-118.279207,04/18/2024,09:00,34.066429,-118.226755,30.0,54.0
04/18/2024,09:36,34.024999,-118.279224,04/18/2024,09:00,34.066429,-118.226755,30.0,54.0
04/18/2024,09:36,34.024987,-118.279327,04/18/2024,09:00,34.066429,-118.226755,30.0,54.0
04/18/2024,09:36,34.02495,-118.279193,04/18/2024,09:00,34.066429,-118.226755,30.0,54.0
04/18/2024,09:37,34.024885,-118.279109,04/18/2024,09:00,34.066429,-118.226755,30.0,54.0
04/18/2024,09:37,34.024899,-118.278996,04/18/2024,09:00,34.066429,-118.226755,30.0,54.0
04/18/2024,09:37,34.024832,-118.278911,04/18/2024,09:00,34.066429,-118.226755,30.0,54.0
04/18/2024,09:37,34.024725,-118.278864,04/18/2024,09:00,34.066429,-118.226755,30.0,54.0
04/18/2024,09:37,34.024662,-118.278778,04/18/2024,09:00,34.066429,-118.226755,30.0,54.0
04/18/2024,09:37,34.024666,-118.278656,04/18/2024,09:00,34.066429,-118.226755,30.0,54.0
04/18/2024,09:37,34.024586,-118.278558,04/18/2024,09:00,34.066429,-118.226755,30.0,54.0
04/18/2024,09:37,34.024563,-118.278664,04/18/2024,09:00,34.066429,-118.226755,30.0,54.0
04/18/2024,09:38,34.024476,-118.278622,04/18/2024,09:00,34.066429,-118.226755,30.0,54.0
