ValidDate_x,ValidTime,latitude,longitude,ValidDate_y,Hour,lat_Approx,long_Approx,PM10_AQI,PM25_AQI
04/19/2024,00:14,34.024966,-118.279106,04/19/2024,00:00,34.066429,-118.226755,23.0,57.0
04/19/2024,00:14,34.025076,-118.279166,04/19/2024,00:00,34.066429,-118.226755,23.0,57.0
04/19/2024,00:14,34.024988,-118.279199,04/19/2024,00:00,34.066429,-118.226755,23.0,57.0
04/19/2024,00:14,34.025161,-118.27925,04/19/2024,00:00,34.066429,-118.226755,23.0,57.0
04/19/2024,00:35,34.025368,-118.279162,04/19/2024,00:00,34.066429,-118.226755,23.0,57.0
04/19/2024,00:35,34.025128,-118.279235,04/19/2024,00:00,34.066429,-118.226755,23.0,57.0
04/19/2024,00:46,34.024935,-118.279165,04/19/2024,00:00,34.066429,-118.226755,23.0,57.0
04/19/2024,00:46,34.025149,-118.279212,04/19/2024,00:00,34.066429,-118.226755,23.0,57.0
04/19/2024,00:54,34.02495,-118.279194,04/19/2024,00:00,34.066429,-118.226755,23.0,57.0
04/19/2024,00:54,34.025162,-118.279224,04/19/2024,00:00,34.066429,-118.226755,23.0,57.0
04/19/2024,00:54,34.024953,-118.279204,04/19/2024,00:00,34.066429,-118.226755,23.0,57.0
04/19/2024,00:55,34.025107,-118.279208,04/19/2024,00:00,34.066429,-118.226755,23.0,57.0
04/19/2024,00:56,34.02495,-118.279063,04/19/2024,00:00,34.066429,-118.226755,23.0,57.0
04/19/2024,00:56,34.025154,-118.279214,04/19/2024,00:00,34.066429,-118.226755,23.0,57.0
04/19/2024,00:56,34.025151,-118.279204,04/19/2024,00:00,34.066429,-118.226755,23.0,57.0
04/19/2024,00:58,34.02494,-118.279293,04/19/2024,00:00,34.066429,-118.226755,23.0,57.0
04/19/2024,00:58,34.025152,-118.279243,04/19/2024,00:00,34.066429,-118.226755,23.0,57.0
04/19/2024,00:58,34.024935,-118.279274,04/19/2024,00:00,34.066429,-118.226755,23.0,57.0
04/19/2024,00:58,34.025106,-118.279205,04/19/2024,00:00,34.066429,-118.226755,23.0,57.0
04/19/2024,00:59,34.024933,-118.279267,04/19/2024,00:00,34.066429,-118.226755,23.0,57.0
04/19/2024,00:59,34.025112,-118.279214,04/19/2024,00:00,34.066429,-118.226755,23.0,57.0
04/19/2024,01:04,34.024981,-118.279268,04/19/2024,01:00,34.066429,-118.226755,22.0,54.0
04/19/2024,01:04,34.025144,-118.279198,04/19/2024,01:00,34.066429,-118.226755,22.0,54.0
