"AQSID","SiteName","Status","EPARegion","Latitude","Longitude","Elevation","GMTOffset","CountryCode","StateName","ValidDate","ValidTime","DataSource","ReportingArea_PipeDelimited","OZONE_AQI","PM10_AQI","PM25_AQI","NO2_AQI","OZONE_Measured","PM10_Measured","PM25_Measured","NO2_Measured","NO2","NO2_Unit","CO","CO_Unit","PM25","PM25_Unit","SO2","SO2_Unit","OZONE","OZONE_Unit","PM10","PM10_Unit"
"230310038","West Buxton","Inactive","R1","43.656765","-70.629135","0.0","-5","US","ME","04/12/2024","16:00","Maine Dept. of Environmental Protection","Western Interior","","","","","1","0","0","0","","","","","","","","","","","",""
"120210004","Laurel Oaks Elementary","Active","R4","26.2992","-81.72","0.0","-5","US","FL","04/12/2024","16:00","Florida Dept. of Environmental Protection","Naples","44","","22","","1","0","1","0","","","","","5.6","UG/M3","","","50.0","PPB","",""
"045201060","JPN Site 045201060","Active","","31.842378","131.298782","0.0","9","","N/A","04/12/2024","16:00","Japan Ministry of Environment","","","","","","0","0","0","0","","","","","","","","","","","",""
"033202520","JPN Site 033202520","Active","","34.60046","133.76595","0.0","9","","N/A","04/12/2024","16:00","Japan Ministry of Environment","","","","","","0","0","0","0","","","","","","","","","","","",""
"022213010","JPN Site 022213010","Active","","34.772182","137.995035","0.0","9","","N/A","04/12/2024","16:00","Japan Ministry of Environment","","","","","","0","0","0","0","","","","","","","","","","","",""
"410391007","Saginaw - Delight Valley School","Active","R10","43.83447","-123.035375","193.1","-8","US","OR","04/12/2024","16:00","Lane Regional Air Protection Agency","Cottage Grove","","","","","1","0","0","0","","","","","","","","","","","",""
"020900034","NCore","Active","R10","64.8458","-147.72727","132.1","-9","US","AK","04/12/2024","16:00","State of Alaska DEC","Fairbanks","31","6","0","","1","1","1","0","","","0.3","PPM","-1.0","UG/M3","0.8","PPB","31.0","PPB","3.0","UG/M3"
"420690101","Peckville","Active","R3","41.4789","-75.5781","0.0","-5","US","PA","04/12/2024","16:00","Pennsylvania Dept. of Environmental Protection","Scranton and Wilkes-Barre","34","","","","1","0","0","0","","","","","","","","","36.0","PPB","",""
"033204090","JPN Site 033204090","Active","","34.524915","133.89872","0.0","9","","N/A","04/12/2024","16:00","Japan Ministry of Environment","","","","","","0","0","0","0","","","","","","","","","","","",""
"181230009","Leopold","Active","R5","38.115152","-86.60325","0.0","-5","US","IN","04/12/2024","16:00","Indiana Dept. of Environmental Management","Perry County","32","","","","1","0","0","0","","","","","","","","","35.0","PPB","",""
"012481080","JPN Site 012481080","Active","","35.390207","140.033726","0.0","9","","N/A","04/12/2024","16:00","Japan Ministry of Environment","","","","","","0","0","0","0","","","","","","","","","","","",""
"80039SO01","Santa Catarina","Active","MX","25.675","-100.45833","219.0","-6","MX","MX","04/12/2024","16:00","Sistema Integral de Monitoreo Ambiental","Monterrey","","","","","1","1","1","0","","","","","","","","","","","",""
"002307950","JPN Site 002307950","Active","","41.254308","140.346208","0.0","9","","N/A","04/12/2024","16:00","Japan Ministry of Environment","","","","","","0","0","0","0","","","","","","","","","","","",""
"011204520","JPN Site 011204520","Active","","35.840152","139.626795","0.0","9","","N/A","04/12/2024","16:00","Japan Ministry of Environment","","","","","","0","0","0","0","","","","","","","","","","","",""
"131210056","NR-Georgia Tech","Active","R4","33.778315","-84.391418","0.0","-5","US","GA","04/12/2024","16:00","Georgia Department of Natural Resources","Atlanta","","","25","10","0","0","1","1","11.9","PPB","0.3","PPM","4.3","UG/M3","","","","","",""
"390130006","Shadyside","Active","R5","39.9679","-80.7464","194.9","-5","US","OH","04/12/2024","16:00","Ohio EPA-DAPC","","","4","8","1","0","1","1","1","1.0","PPB","","","2.3","UG/M3","-1.0","PPB","","","4.0","UG/M3"
"371990004","Mt Mitchell","Active","R4","35.765413","-82.264944","2024.3","-5","US","NC","04/12/2024","16:00","North Carolina DEQ - Division of Air Quality","Yancey County|North Ridges","","","","","1","0","0","0","","","","","","","","","","","",""
"011202510","JPN Site 011202510","Active","","36.163447","139.395133","0.0","9","","N/A","04/12/2024","16:00","Japan Ministry of Environment","","","","","","0","0","0","0","","","","","","","","","","","",""
"000052001","Charette","Active","CA","46.4425","-72.8928","116.8","-5","CA","CC","04/12/2024","16:00","Canada-Quebec1","","31","","9","","1","0","1","0","","","","","1.9","UG/M3","","","32.0","PPB","",""
"220330013","Pride","Active","R6","30.7008","-91.0561","0.0","-6","US","LA","04/12/2024","16:00","Louisiana Department of Environmental Quality","Baton Rouge Area","44","","","","1","0","0","0","","","","","","","","","50.0","PPB","",""
"400310649","Lawton South","Inactive","R6","34.514999","-98.3983","332.5","-6","US","OK","04/12/2024","16:00","Oklahoma Department of Environmental Quality","Lawton","","","","","1","0","0","0","","","","","","","","","","","",""
"410392013","Oakridge - Willamette Activity Center","Active","R10","43.74436","-122.480506","352.0","-8","US","OR","04/12/2024","16:00","Lane Regional Air Protection Agency","Oakridge","","","11","","0","0","1","0","","","","","2.4","UG/M3","","","","","",""
"291570001","Farrar","Active","R7","37.70264","-89.69864","151.6","-6","US","MO","04/12/2024","16:00","Missouri Department of Natural Resources","Farrar","41","","","","1","0","0","0","","","","","","","","","44.0","PPB","",""
"080691004","Fort Collins - CSU - 708 S. Mason St.","Active","R8","40.5764","-105.0794","1571.1","-7","US","CO","04/12/2024","16:00","Colorado Department of Public Health and Environment","Fort Collins","30","","","","1","0","0","0","","","0.2","PPM","","","","","36.0","PPB","",""
"124000094500","Joussard","Active","CA","55.340367","-115.895667","676.2","-7","CA","CC","04/12/2024","16:00","Canadian Air and Precipitation Monitoring Network","","38","","","","1","0","0","0","","","","","","","","","41.0","PPB","",""
"371830016","FUQUAY","Inactive","R4","35.585","-78.7947","116.8","-5","US","NC","04/12/2024","16:00","North Carolina DEQ - Division of Air Quality","Cumberland County|Wake County","","","","","1","0","0","0","","","","","","","","","","","",""
"483390078","Conroe Relocated C78","Active","R6","30.3503","-95.425","42.7","-6","US","TX","04/12/2024","16:00","Texas Commission on Environmental Quality","Houston-Galveston-Brazoria","48","","","","1","0","1","1","","","","","","","","","57.0","PPB","",""
"482090614","Dripping Springs C614","Active","R6","30.214636","-98.083311","355.0","-6","US","TX","04/12/2024","16:00","Capital Area Council of Governments","Austin","45","","","","1","0","1","0","","","","","","","","","58.0","PPB","",""
