W San Gabriel Vly|CA|US|Yes|Residential No Burn|Residential No Burn|34.1327|-118.1272|-8|Yes|PST|PDT|ca138|No|South Coast AQMD
E San Gabriel Vly|CA|US|Yes|Residential No Burn|Residential No Burn|34.1300|-117.8900|-8|Yes|PST|PDT|ca139|No|South Coast AQMD
Pomona Walnut Vly|CA|US|Yes|Residential No Burn|Residential No Burn|34.0666|-117.7500|-8|Yes|PST|PDT|ca141|No|South Coast AQMD
S San Gabriel Vly|CA|US|Yes|Residential No Burn|Residential No Burn|34.0102|-118.0686|-8|Yes|PST|PDT|ca142|No|South Coast AQMD
S Central LA CO|CA|US|Yes|Residential No Burn|Residential No Burn|33.9288|-118.2108|-8|Yes|PST|PDT|ca143|No|South Coast AQMD
Santa Clarita Vly|CA|US|Yes|Residential No Burn|Residential No Burn|34.3833|-118.5283|-8|Yes|PST|PDT|ca144|No|South Coast AQMD
Antelope Vly|CA|US|Yes|Residential No Burn|Residential No Burn|34.6694|-118.1305|-8|Yes|PST|PDT|ca145|No|Antelope Valley AQMD
San Gabriel Mts|CA|US|Yes|Residential No Burn|Residential No Burn|34.3927|-118.1152|-8|Yes|PST|PDT|ca146|No|South Coast AQMD
North Orange CO|CA|US|Yes|Residential No Burn|Residential No Burn|33.8690|-117.8903|-8|Yes|PST|PDT|ca147|No|South Coast AQMD
Central Orange|CA|US|Yes|Residential No Burn|Residential No Burn|33.8130|-117.9640|-8|Yes|PST|PDT|ca148|No|South Coast AQMD
N Coastal Orange|CA|US|Yes|Residential No Burn|Residential No Burn|33.6738|-117.9258|-8|Yes|PST|PDT|ca150|No|South Coast AQMD
Saddleback Vly|CA|US|Yes|Residential No Burn|Residential No Burn|33.6302|-117.6750|-8|Yes|PST|PDT|ca151|No|South Coast AQMD
Central Coastal|CA|US|Yes|Residential No Burn|Residential No Burn|33.5924|-117.7724|-8|Yes|PST|PDT|ca152|No|South Coast AQMD
Capistrano Vly|CA|US|Yes|Residential No Burn|Residential No Burn|33.5493|-117.5715|-8|Yes|PST|PDT|ca153|No|South Coast AQMD
Norco and Corona|CA|US|Yes|Residential No Burn|Residential No Burn|33.8584|-117.5285|-8|Yes|PST|PDT|ca154|No|South Coast AQMD
Metro Riverside CO|CA|US|Yes|Residential No Burn|Residential No Burn|34.0005|-117.4152|-8|Yes|PST|PDT|ca155|No|South Coast AQMD
Perris Vly|CA|US|Yes|Residential No Burn|Residential No Burn|33.7888|-117.2277|-8|Yes|PST|PDT|ca156|No|South Coast AQMD
Lake Elsinore|CA|US|Yes|Residential No Burn|Residential No Burn|33.6763|-117.3308|-8|Yes|PST|PDT|ca157|No|South Coast AQMD
Temecula Vly|CA|US|Yes|Residential No Burn|Residential No Burn|33.5370|-117.0640|-8|Yes|PST|PDT|ca158|No|South Coast AQMD
Anza Vly|CA|US|Yes|Residential No Burn|Residential No Burn|33.5770|-116.7890|-8|Yes|PST|PDT|ca159|No|South Coast AQMD
Hemet and San Jacinto|CA|US|Yes|Residential No Burn|Residential No Burn|33.7783|-116.9127|-8|Yes|PST|PDT|ca160|No|South Coast AQMD
Banning|CA|US|Yes|Residential No Burn|Residential No Burn|33.9208|-116.8583|-8|Yes|PST|PDT|ca161|No|South Coast AQMD
Coachella Vly|CA|US|Yes|Residential No Burn|Residential No Burn|33.7684|-116.3750|-8|Yes|PST|PDT|ca162|No|South Coast AQMD
East Riverside CO|CA|US|Yes|Residential No Burn|Residential No Burn|33.8077|-115.4570|-8|Yes|PST|PDT|ca163|No|South Coast AQMD
NW San Bernardino|CA|US|Yes|Residential No Burn|Residential No Burn|34.1038|-117.6291|-8|Yes|PST|PDT|ca164|No|South Coast AQMD
SW San Bernardino|CA|US|Yes|Residential No Burn|Residential No Burn|34.0017|-117.6585|-8|Yes|PST|PDT|ca165|No|South Coast AQMD
C San Bernardino|CA|US|Yes|Residential No Burn|Residential No Burn|34.1130|-117.3710|-8|Yes|PST|PDT|ca166|No|South Coast AQMD
E San Bernardino|CA|US|Yes|Residential No Burn|Residential No Burn|34.0588|-117.1477|-8|Yes|PST|PDT|ca168|No|South Coast AQMD
